ID;login;NlogonAll;calendbinary;filterbinary;Nexport;topic1;Nactive1;topic2;Nactive2;topic3;Nactive3;diffdate;diffbill;fastbill;msignal;avgSectionbinary;avgNullSearchW;avgNullSearchM;avgEmptyStupid;Nlongfilter;NcontractAll;NcontractAllReq;NprotNotAll;NprotNotAllAuction;protContractRatio;is_loyality
580541;1;15;0;1;0;15;171;23;171;37;171;1.75844748858447;0;7;0;0;0;0;0.333333333333333;1;0;0;0;0;0;0
581114;1;123;0;1;0;29;149;52;149;72;149;1.75022831050228;0;4;0;0;0;0;0.5;2;49;4;104;78;0.471153846153846;0
581131;1;348;1;1;394;45;1320;45;1320;23;1320;0.893150684931507;0.0688888888888889;7;1;0.333333333333333;0.111111111111111;0.0694444444444444;0.375;48;7;2;2;0;1;1
581161;1;54;0;1;31;22;34;64;34;74;34;1.75296803652968;0;93;0;0.454545454545455;0.227272727272727;0.181818181818182;0.363636363636364;14;4469;1008;4289;2165;1;0
581322;1;30;0;1;0;45;108;33;108;31;108;0.0958904109589041;0.25968992248062;3;0;0.235294117647059;0.0588235294117647;0.0588235294117647;0.411764705882353;12;1;0;4;1;0.25;0
581535;1;648;1;1;374;32;15012;32;15012;2;15012;1.21369863013699;0.0661322645290581;1;0;0.412698412698413;0.119047619047619;0.0714285714285714;0.293650793650794;97;2;0;5;5;0.4;1
581554;1;4;0;1;0;45;3;74;3;0;0;0.0602739726027397;175.5;07.май;0;0.166666666666667;0;0;0.5;4;1;0;2;2;0.5;0
581605;1;33;0;1;0;72;109;18;109;74;109;1.75022831050228;0;11;0;0.235294117647059;0.0588235294117647;0.0588235294117647;0.411764705882353;4;2;0;0;0;0;0
58174;1;32;0;1;0;15;62;24;62;27;62;1.30639269406393;0;4;0;0;0;0;0.666666666666667;4;5;0;0;0;0;0
581823;1;46;0;1;0;33;72;28;72;29;72;0.495890410958904;-0.403508771929825;4;0;0;0.5;0.5;0.5;2;1;0;1;1;1;0
581896;1;91;0;1;7;25;233;23;233;26;233;1.34748858447489;0;1;0;0;0;0;0.4;5;9;0;10;9;0.9;0
581908;1;75;1;1;0;24;225;94;225;30;225;1.73926940639269;0;10;0;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;4;0;0;0;0;0;0
